,Injury.Severity
45349,Fatal(1)
45350,Fatal(1)
45351,Fatal(1)
45352,Non-Fatal
45353,Non-Fatal
45354,Non-Fatal
45355,Non-Fatal
45356,Non-Fatal
45357,Unavailable
45358,Fatal(2)
45359,Non-Fatal
45360,Non-Fatal
45361,Fatal(1)
45362,Non-Fatal
45363,Non-Fatal
45364,Non-Fatal
45365,Non-Fatal
45366,Non-Fatal
45367,Non-Fatal
45368,Incident
45369,Non-Fatal
45370,Non-Fatal
45371,Fatal(3)
45372,Non-Fatal
45373,Non-Fatal
45374,Non-Fatal
45375,Non-Fatal
45376,Non-Fatal
45377,Non-Fatal
45378,Non-Fatal
45379,Non-Fatal
45380,Fatal(2)
45381,Fatal(1)
45382,Non-Fatal
45383,Non-Fatal
45384,Non-Fatal
45385,Non-Fatal
45386,Non-Fatal
45387,Non-Fatal
45388,Non-Fatal
45389,Non-Fatal
45390,Incident
45391,Non-Fatal
45392,Non-Fatal
45393,Fatal(2)
45394,Non-Fatal
45395,Non-Fatal
45396,Fatal(2)
45397,Non-Fatal
45398,Non-Fatal
45399,Non-Fatal
45400,Fatal(2)
45401,Fatal(5)
45402,Fatal(1)
45403,Non-Fatal
45404,Non-Fatal
45405,Non-Fatal
45406,Non-Fatal
45407,Non-Fatal
45408,Fatal(1)
45409,Non-Fatal
45410,Non-Fatal
45411,Non-Fatal
45412,Fatal(1)
45413,Fatal(1)
45414,Fatal(1)
45415,Non-Fatal
45416,Non-Fatal
45417,Non-Fatal
45418,Non-Fatal
45419,Non-Fatal
45420,Non-Fatal
45421,Non-Fatal
45422,Non-Fatal
45423,Non-Fatal
45424,Fatal(1)
45425,Incident
45426,Fatal(2)
45427,Non-Fatal
45428,Non-Fatal
45429,Fatal(2)
45430,Fatal(1)
45431,Incident
45432,Non-Fatal
45433,Non-Fatal
45434,Fatal(3)
45435,Non-Fatal
45436,Non-Fatal
45437,Non-Fatal
45438,Non-Fatal
45439,Non-Fatal
45440,Non-Fatal
45441,Fatal(2)
45442,Non-Fatal
45443,Non-Fatal
45444,Non-Fatal
45445,Non-Fatal
45446,Non-Fatal
45447,Non-Fatal
45448,Non-Fatal
45449,Incident
45450,Non-Fatal
45451,Non-Fatal
45452,Non-Fatal
45453,Non-Fatal
45454,Non-Fatal
45455,Non-Fatal
45456,Non-Fatal
45457,Non-Fatal
45458,Non-Fatal
45459,Non-Fatal
45460,Fatal(2)
45461,Non-Fatal
45462,Non-Fatal
45463,Non-Fatal
45464,Non-Fatal
45465,Non-Fatal
45466,Non-Fatal
45467,Non-Fatal
45468,Non-Fatal
45469,Fatal(1)
45470,Non-Fatal
45471,Non-Fatal
45472,Non-Fatal
45473,Non-Fatal
45474,Non-Fatal
45475,Non-Fatal
45476,Fatal(1)
45477,Non-Fatal
45478,Incident
45479,Non-Fatal
45480,Non-Fatal
45481,Non-Fatal
45482,Non-Fatal
45483,Non-Fatal
45484,Non-Fatal
45485,Non-Fatal
45486,Fatal(4)
45487,Non-Fatal
45488,Non-Fatal
45489,Non-Fatal
45490,Non-Fatal
45491,Non-Fatal
45492,Fatal(2)
45493,Non-Fatal
45494,Non-Fatal
45495,Non-Fatal
45496,Non-Fatal
45497,Non-Fatal
45498,Non-Fatal
45499,Non-Fatal
45500,Non-Fatal
45501,Fatal(1)
45502,Non-Fatal
45503,Non-Fatal
45504,Non-Fatal
45505,Non-Fatal
45506,Non-Fatal
45507,Non-Fatal
45508,Non-Fatal
45509,Non-Fatal
45510,Fatal(2)
45511,Non-Fatal
45512,Non-Fatal
45513,Non-Fatal
45514,Non-Fatal
45515,Non-Fatal
45516,Non-Fatal
45517,Non-Fatal
45518,Fatal(4)
45519,Non-Fatal
45520,Non-Fatal
45521,Non-Fatal
45522,Non-Fatal
45523,Fatal(4)
45524,Non-Fatal
45525,Non-Fatal
45526,Incident
45527,Incident
45528,Non-Fatal
45529,Fatal(1)
45530,Fatal(4)
45531,Incident
45532,Non-Fatal
45533,Non-Fatal
45534,Non-Fatal
45535,Non-Fatal
45536,Non-Fatal
45537,Incident
45538,Fatal(3)
45539,Non-Fatal
45540,Fatal(3)
45541,Non-Fatal
45542,Non-Fatal
45543,Fatal(2)
45544,Non-Fatal
45545,Non-Fatal
45546,Fatal(2)
45547,Non-Fatal
45548,Non-Fatal
45549,Non-Fatal
45550,Non-Fatal
45551,Non-Fatal
45552,Non-Fatal
45553,Non-Fatal
45554,Non-Fatal
45555,Non-Fatal
45556,Fatal(1)
45557,Non-Fatal
45558,Non-Fatal
45559,Non-Fatal
45560,Unavailable
45561,Non-Fatal
45562,Non-Fatal
45563,Fatal(2)
45564,Non-Fatal
45565,Non-Fatal
45566,Non-Fatal
45567,Non-Fatal
45568,Non-Fatal
45569,Fatal(2)
45570,Non-Fatal
45571,Fatal(1)
45572,Non-Fatal
45573,Non-Fatal
45574,Non-Fatal
45575,Non-Fatal
45576,Incident
45577,Non-Fatal
45578,Non-Fatal
45579,Non-Fatal
45580,Non-Fatal
45581,Non-Fatal
45582,Non-Fatal
45583,Non-Fatal
45584,Non-Fatal
45585,Non-Fatal
45586,Fatal(1)
45587,Fatal(1)
45588,Incident
45589,Fatal(1)
45590,Fatal(1)
45591,Fatal(5)
45592,Incident
45593,Non-Fatal
45594,Non-Fatal
45595,Non-Fatal
45596,Non-Fatal
45597,Fatal(2)
45598,Non-Fatal
45599,Non-Fatal
45600,Non-Fatal
45601,Fatal(6)
45602,Non-Fatal
45603,Non-Fatal
45604,Non-Fatal
45605,Non-Fatal
45606,Incident
45607,Non-Fatal
45608,Non-Fatal
45609,Non-Fatal
45610,Non-Fatal
45611,Non-Fatal
45612,Non-Fatal
45613,Non-Fatal
45614,Non-Fatal
45615,Non-Fatal
45616,Non-Fatal
45617,Incident
45618,Non-Fatal
45619,Fatal(1)
45620,Non-Fatal
45621,Non-Fatal
45622,Non-Fatal
45623,Non-Fatal
45624,Fatal(1)
45625,Non-Fatal
45626,Non-Fatal
45627,Non-Fatal
45628,Non-Fatal
45629,Non-Fatal
45630,Non-Fatal
45631,Non-Fatal
45632,Non-Fatal
45633,Non-Fatal
45634,Non-Fatal
45635,Non-Fatal
45636,Non-Fatal
45637,Non-Fatal
45638,Non-Fatal
45639,Non-Fatal
45640,Non-Fatal
45641,Non-Fatal
45642,Non-Fatal
45643,Incident
45644,Fatal(1)
45645,Non-Fatal
45646,Non-Fatal
45647,Non-Fatal
45648,Non-Fatal
45649,Non-Fatal
45650,Fatal(2)
45651,Non-Fatal
45652,Non-Fatal
45653,Non-Fatal
45654,Non-Fatal
45655,Non-Fatal
45656,Fatal(1)
45657,Non-Fatal
45658,Non-Fatal
45659,Non-Fatal
45660,Incident
45661,Fatal(2)
45662,Non-Fatal
45663,Non-Fatal
45664,Fatal(1)
45665,Fatal(1)
45666,Non-Fatal
45667,Non-Fatal
45668,Non-Fatal
45669,Non-Fatal
45670,Non-Fatal
45671,Non-Fatal
45672,Non-Fatal
45673,Non-Fatal
45674,Non-Fatal
45675,Non-Fatal
45676,Non-Fatal
45677,Non-Fatal
45678,Non-Fatal
45679,Non-Fatal
45680,Non-Fatal
45681,Fatal(2)
45682,Non-Fatal
45683,Fatal(2)
45684,Non-Fatal
45685,Non-Fatal
45686,Non-Fatal
45687,Non-Fatal
45688,Non-Fatal
45689,Fatal(1)
45690,Fatal(1)
45691,Non-Fatal
45692,Non-Fatal
45693,Non-Fatal
45694,Non-Fatal
45695,Non-Fatal
45696,Non-Fatal
45697,Non-Fatal
45698,Non-Fatal
45699,Non-Fatal
45700,Non-Fatal
45701,Non-Fatal
45702,Fatal(1)
45703,Incident
45704,Incident
45705,Non-Fatal
45706,Non-Fatal
45707,Non-Fatal
45708,Non-Fatal
45709,Non-Fatal
45710,Fatal(1)
45711,Unavailable
45712,Non-Fatal
45713,Non-Fatal
45714,Non-Fatal
45715,Non-Fatal
45716,Non-Fatal
45717,Non-Fatal
45718,Non-Fatal
45719,Non-Fatal
45720,Non-Fatal
45721,Non-Fatal
45722,Non-Fatal
45723,Non-Fatal
45724,Non-Fatal
45725,Non-Fatal
45726,Non-Fatal
45727,Non-Fatal
45728,Non-Fatal
45729,Fatal(2)
45730,Non-Fatal
45731,Non-Fatal
45732,Non-Fatal
45733,Non-Fatal
45734,Non-Fatal
45735,Non-Fatal
45736,Non-Fatal
45737,Non-Fatal
45738,Non-Fatal
45739,Incident
45740,Non-Fatal
45741,Non-Fatal
45742,Fatal(1)
45743,Non-Fatal
45744,Non-Fatal
45745,Non-Fatal
45746,Non-Fatal
45747,Fatal(1)
45748,Non-Fatal
45749,Non-Fatal
45750,Non-Fatal
45751,Non-Fatal
45752,Incident
45753,Fatal(2)
45754,Non-Fatal
45755,Non-Fatal
45756,Non-Fatal
45757,Non-Fatal
45758,Non-Fatal
45759,Non-Fatal
45760,Non-Fatal
45761,Non-Fatal
45762,Fatal(13)
45763,Non-Fatal
45764,Unavailable
45765,Non-Fatal
45766,Non-Fatal
45767,Fatal(2)
45768,Non-Fatal
45769,Non-Fatal
45770,Non-Fatal
45771,Non-Fatal
45772,Non-Fatal
45773,Fatal(2)
45774,Fatal(2)
45775,Non-Fatal
45776,Non-Fatal
45777,Non-Fatal
45778,Non-Fatal
45779,Non-Fatal
45780,Non-Fatal
45781,Non-Fatal
45782,Non-Fatal
45783,Non-Fatal
45784,Non-Fatal
45785,Non-Fatal
45786,Non-Fatal
45787,Non-Fatal
45788,Non-Fatal
45789,Non-Fatal
45790,Non-Fatal
45791,Fatal(1)
45792,Fatal(1)
45793,Fatal(2)
45794,Fatal(2)
45795,Incident
45796,Non-Fatal
45797,Non-Fatal
45798,Incident
45799,Non-Fatal
45800,Fatal(1)
45801,Non-Fatal
45802,Fatal(1)
45803,Non-Fatal
45804,Non-Fatal
45805,Fatal(1)
45806,Non-Fatal
45807,Non-Fatal
45808,Non-Fatal
45809,Non-Fatal
45810,Non-Fatal
45811,Non-Fatal
45812,Incident
45813,Fatal(1)
45814,Non-Fatal
45815,Non-Fatal
45816,Non-Fatal
45817,Fatal(2)
45818,Non-Fatal
45819,Non-Fatal
45820,Non-Fatal
45821,Non-Fatal
45822,Non-Fatal
45823,Non-Fatal
45824,Fatal(3)
45825,Non-Fatal
45826,Non-Fatal
45827,Non-Fatal
45828,Non-Fatal
45829,Non-Fatal
45830,Non-Fatal
45831,Non-Fatal
45832,Non-Fatal
45833,Non-Fatal
45834,Non-Fatal
45835,Non-Fatal
45836,Non-Fatal
45837,Non-Fatal
45838,Non-Fatal
45839,Non-Fatal
45840,Non-Fatal
45841,Non-Fatal
45842,Non-Fatal
45843,Non-Fatal
45844,Incident
45845,Non-Fatal
45846,Non-Fatal
45847,Non-Fatal
45848,Fatal(1)
45849,Fatal(2)
45850,Fatal(1)
45851,Non-Fatal
45852,Non-Fatal
45853,Non-Fatal
45854,Non-Fatal
45855,Non-Fatal
45856,Non-Fatal
45857,Fatal(2)
45858,Fatal(7)
45859,Fatal(4)
45860,Fatal(3)
45861,Non-Fatal
45862,Non-Fatal
45863,Non-Fatal
45864,Non-Fatal
45865,Non-Fatal
45866,Non-Fatal
45867,Fatal(1)
45868,Non-Fatal
45869,Non-Fatal
45870,Non-Fatal
45871,Non-Fatal
45872,Non-Fatal
45873,Non-Fatal
45874,Non-Fatal
45875,Non-Fatal
45876,Non-Fatal
45877,Non-Fatal
45878,Non-Fatal
45879,Non-Fatal
45880,Non-Fatal
45881,Non-Fatal
45882,Non-Fatal
45883,Non-Fatal
45884,Non-Fatal
45885,Fatal(6)
45886,Non-Fatal
45887,Non-Fatal
45888,Non-Fatal
45889,Non-Fatal
45890,Non-Fatal
45891,Non-Fatal
45892,Non-Fatal
45893,Incident
45894,Non-Fatal
45895,Non-Fatal
45896,Non-Fatal
45897,Non-Fatal
45898,Non-Fatal
45899,Non-Fatal
45900,Non-Fatal
45901,Non-Fatal
45902,Non-Fatal
45903,Non-Fatal
45904,Non-Fatal
45905,Non-Fatal
45906,Non-Fatal
45907,Non-Fatal
45908,Fatal(2)
45909,Fatal(4)
45910,Non-Fatal
45911,Non-Fatal
45912,Non-Fatal
45913,Non-Fatal
45914,Non-Fatal
45915,Non-Fatal
45916,Non-Fatal
45917,Non-Fatal
45918,Non-Fatal
45919,Non-Fatal
45920,Non-Fatal
45921,Non-Fatal
45922,Non-Fatal
45923,Fatal(4)
45924,Non-Fatal
45925,Fatal(2)
45926,Fatal(1)
45927,Non-Fatal
45928,Non-Fatal
45929,Non-Fatal
45930,Non-Fatal
45931,Non-Fatal
45932,Fatal(2)
45933,Fatal(3)
45934,Non-Fatal
45935,Non-Fatal
45936,Fatal(1)
45937,Non-Fatal
45938,Non-Fatal
45939,Non-Fatal
45940,Fatal(1)
45941,Non-Fatal
45942,Non-Fatal
45943,Non-Fatal
45944,Non-Fatal
45945,Non-Fatal
45946,Non-Fatal
45947,Non-Fatal
45948,Non-Fatal
45949,Non-Fatal
45950,Non-Fatal
45951,Non-Fatal
45952,Non-Fatal
45953,Non-Fatal
45954,Fatal(2)
45955,Non-Fatal
45956,Non-Fatal
45957,Non-Fatal
45958,Non-Fatal
45959,Non-Fatal
45960,Non-Fatal
45961,Fatal(3)
45962,Fatal(1)
45963,Non-Fatal
45964,Non-Fatal
45965,Non-Fatal
45966,Fatal(1)
45967,Non-Fatal
45968,Fatal(1)
45969,Fatal(1)
45970,Non-Fatal
45971,Non-Fatal
45972,Fatal(1)
45973,Fatal(2)
45974,Fatal(2)
45975,Non-Fatal
45976,Non-Fatal
45977,Fatal(2)
45978,Unavailable
45979,Fatal(1)
45980,Non-Fatal
45981,Non-Fatal
45982,Non-Fatal
45983,Fatal(1)
45984,Non-Fatal
45985,Non-Fatal
45986,Non-Fatal
45987,Non-Fatal
45988,Non-Fatal
45989,Non-Fatal
45990,Incident
45991,Non-Fatal
45992,Non-Fatal
45993,Fatal(1)
45994,Fatal(1)
45995,Non-Fatal
45996,Non-Fatal
45997,Non-Fatal
45998,Non-Fatal
45999,Non-Fatal
46000,Fatal(4)
46001,Non-Fatal
46002,Non-Fatal
46003,Non-Fatal
46004,Non-Fatal
46005,Non-Fatal
46006,Non-Fatal
46007,Non-Fatal
46008,Non-Fatal
46009,Non-Fatal
46010,Non-Fatal
46011,Non-Fatal
46012,Non-Fatal
46013,Non-Fatal
46014,Non-Fatal
46015,Non-Fatal
46016,Non-Fatal
46017,Non-Fatal
46018,Non-Fatal
46019,Non-Fatal
46020,Non-Fatal
46021,Non-Fatal
46022,Non-Fatal
46023,Non-Fatal
46024,Non-Fatal
46025,Fatal(3)
46026,Fatal(3)
46027,Non-Fatal
46028,Fatal(2)
46029,Non-Fatal
46030,Non-Fatal
46031,Fatal(1)
46032,Non-Fatal
46033,Non-Fatal
46034,Non-Fatal
46035,Non-Fatal
46036,Non-Fatal
46037,Fatal(2)
46038,Non-Fatal
46039,Fatal(3)
46040,Fatal(2)
46041,Non-Fatal
46042,Fatal(2)
46043,Fatal(3)
46044,Non-Fatal
46045,Non-Fatal
46046,Non-Fatal
46047,Non-Fatal
46048,Non-Fatal
46049,Fatal(2)
46050,Non-Fatal
46051,Non-Fatal
46052,Fatal(1)
46053,Non-Fatal
46054,Fatal(1)
46055,Non-Fatal
46056,Non-Fatal
46057,Non-Fatal
46058,Non-Fatal
46059,Fatal(1)
46060,Non-Fatal
46061,Non-Fatal
46062,Non-Fatal
46063,Non-Fatal
46064,Fatal(4)
46065,Non-Fatal
46066,Non-Fatal
46067,Fatal(1)
46068,Non-Fatal
46069,Non-Fatal
46070,Non-Fatal
46071,Non-Fatal
46072,Non-Fatal
46073,Non-Fatal
46074,Non-Fatal
46075,Non-Fatal
46076,Non-Fatal
46077,Non-Fatal
46078,Non-Fatal
46079,Non-Fatal
46080,Fatal(2)
46081,Non-Fatal
46082,Non-Fatal
46083,Non-Fatal
46084,Non-Fatal
46085,Non-Fatal
46086,Non-Fatal
46087,Fatal(1)
46088,Non-Fatal
46089,Fatal(2)
46090,Fatal(6)
46091,Non-Fatal
46092,Non-Fatal
46093,Non-Fatal
46094,Non-Fatal
46095,Non-Fatal
46096,Non-Fatal
46097,Fatal(1)
46098,Incident
46099,Fatal(1)
46100,Non-Fatal
46101,Non-Fatal
46102,Non-Fatal
46103,Non-Fatal
46104,Non-Fatal
46105,Non-Fatal
46106,Non-Fatal
46107,Non-Fatal
46108,Non-Fatal
46109,Non-Fatal
46110,Non-Fatal
46111,Non-Fatal
46112,Non-Fatal
46113,Non-Fatal
46114,Non-Fatal
46115,Non-Fatal
46116,Non-Fatal
46117,Non-Fatal
46118,Non-Fatal
46119,Non-Fatal
46120,Non-Fatal
46121,Non-Fatal
46122,Non-Fatal
46123,Non-Fatal
46124,Non-Fatal
46125,Non-Fatal
46126,Non-Fatal
46127,Non-Fatal
46128,Non-Fatal
46129,Non-Fatal
46130,Non-Fatal
46131,Fatal(2)
46132,Non-Fatal
46133,Non-Fatal
46134,Non-Fatal
46135,Non-Fatal
46136,Non-Fatal
46137,Non-Fatal
46138,Non-Fatal
46139,Non-Fatal
46140,Fatal(2)
46141,Fatal(2)
46142,Fatal(1)
46143,Non-Fatal
46144,Non-Fatal
46145,Non-Fatal
46146,Non-Fatal
46147,Non-Fatal
46148,Non-Fatal
46149,Non-Fatal
46150,Non-Fatal
46151,Fatal(1)
46152,Non-Fatal
46153,Non-Fatal
46154,Non-Fatal
46155,Non-Fatal
46156,Non-Fatal
46157,Non-Fatal
46158,Non-Fatal
46159,Non-Fatal
46160,Non-Fatal
46161,Non-Fatal
46162,Non-Fatal
46163,Non-Fatal
46164,Non-Fatal
46165,Non-Fatal
46166,Non-Fatal
46167,Non-Fatal
46168,Non-Fatal
46169,Non-Fatal
46170,Non-Fatal
46171,Non-Fatal
46172,Non-Fatal
46173,Non-Fatal
46174,Fatal(1)
46175,Non-Fatal
46176,Non-Fatal
46177,Non-Fatal
46178,Fatal(1)
46179,Fatal(1)
46180,Non-Fatal
46181,Non-Fatal
46182,Non-Fatal
46183,Non-Fatal
46184,Non-Fatal
46185,Non-Fatal
46186,Non-Fatal
46187,Non-Fatal
46188,Fatal(1)
46189,Fatal(1)
46190,Non-Fatal
46191,Non-Fatal
46192,Non-Fatal
46193,Fatal(2)
46194,Fatal(1)
46195,Non-Fatal
46196,Non-Fatal
46197,Non-Fatal
46198,Non-Fatal
46199,Non-Fatal
46200,Non-Fatal
46201,Fatal(1)
46202,Non-Fatal
46203,Non-Fatal
46204,Fatal(1)
46205,Non-Fatal
46206,Fatal(1)
46207,Non-Fatal
46208,Non-Fatal
46209,Non-Fatal
46210,Non-Fatal
46211,Fatal(1)
46212,Non-Fatal
46213,Fatal(4)
46214,Non-Fatal
46215,Non-Fatal
46216,Non-Fatal
46217,Non-Fatal
46218,Non-Fatal
46219,Non-Fatal
46220,Non-Fatal
46221,Non-Fatal
46222,Non-Fatal
46223,Fatal(2)
46224,Fatal(3)
46225,Fatal(3)
46226,Non-Fatal
46227,Non-Fatal
46228,Fatal(2)
46229,Non-Fatal
46230,Non-Fatal
46231,Non-Fatal
46232,Non-Fatal
46233,Fatal(2)
46234,Fatal(2)
46235,Fatal(2)
46236,Fatal(1)
46237,Fatal(2)
46238,Non-Fatal
46239,Non-Fatal
46240,Non-Fatal
46241,Non-Fatal
46242,Non-Fatal
46243,Non-Fatal
46244,Fatal(1)
46245,Non-Fatal
46246,Non-Fatal
46247,Non-Fatal
46248,Non-Fatal
46249,Non-Fatal
46250,Non-Fatal
46251,Fatal(1)
46252,Non-Fatal
46253,Non-Fatal
46254,Non-Fatal
46255,Non-Fatal
46256,Fatal(11)
46257,Non-Fatal
46258,Non-Fatal
46259,Fatal(1)
46260,Non-Fatal
46261,Non-Fatal
46262,Non-Fatal
46263,Non-Fatal
46264,Non-Fatal
46265,Fatal(1)
46266,Non-Fatal
46267,Non-Fatal
46268,Non-Fatal
46269,Non-Fatal
46270,Non-Fatal
46271,Non-Fatal
46272,Non-Fatal
46273,Non-Fatal
46274,Non-Fatal
46275,Fatal(1)
46276,Non-Fatal
46277,Non-Fatal
46278,Non-Fatal
46279,Fatal(1)
46280,Non-Fatal
46281,Non-Fatal
46282,Fatal(1)
46283,Non-Fatal
46284,Non-Fatal
46285,Fatal(1)
46286,Non-Fatal
46287,Non-Fatal
46288,Non-Fatal
46289,Non-Fatal
46290,Non-Fatal
46291,Non-Fatal
46292,Fatal(1)
46293,Non-Fatal
46294,Non-Fatal
46295,Non-Fatal
46296,Non-Fatal
46297,Non-Fatal
46298,Non-Fatal
46299,Non-Fatal
46300,Fatal(3)
46301,Non-Fatal
46302,Non-Fatal
46303,Non-Fatal
46304,Non-Fatal
46305,Non-Fatal
46306,Non-Fatal
46307,Fatal(1)
46308,Fatal(2)
46309,Non-Fatal
46310,Non-Fatal
46311,Non-Fatal
46312,Non-Fatal
46313,Non-Fatal
46314,Non-Fatal
46315,Non-Fatal
46316,Non-Fatal
46317,Fatal(1)
46318,Incident
46319,Fatal(7)
46320,Non-Fatal
46321,Non-Fatal
46322,Non-Fatal
46323,Non-Fatal
46324,Non-Fatal
46325,Non-Fatal
46326,Non-Fatal
46327,Non-Fatal
46328,Non-Fatal
46329,Non-Fatal
46330,Non-Fatal
46331,Non-Fatal
46332,Non-Fatal
46333,Non-Fatal
46334,Non-Fatal
46335,Non-Fatal
46336,Fatal(2)
46337,Fatal(1)
46338,Non-Fatal
46339,Non-Fatal
46340,Non-Fatal
46341,Non-Fatal
46342,Non-Fatal
46343,Non-Fatal
46344,Non-Fatal
46345,Non-Fatal
46346,Non-Fatal
46347,Non-Fatal
46348,Non-Fatal
46349,Fatal(2)
46350,Non-Fatal
46351,Non-Fatal
46352,Non-Fatal
46353,Non-Fatal
46354,Non-Fatal
46355,Non-Fatal
46356,Non-Fatal
46357,Non-Fatal
46358,Fatal(1)
46359,Fatal(1)
46360,Non-Fatal
46361,Non-Fatal
46362,Non-Fatal
46363,Fatal(4)
46364,Fatal(4)
46365,Non-Fatal
46366,Non-Fatal
46367,Non-Fatal
46368,Non-Fatal
46369,Non-Fatal
46370,Non-Fatal
46371,Non-Fatal
46372,Non-Fatal
46373,Non-Fatal
46374,Non-Fatal
46375,Non-Fatal
46376,Non-Fatal
46377,Non-Fatal
46378,Non-Fatal
46379,Non-Fatal
46380,Non-Fatal
46381,Non-Fatal
46382,Non-Fatal
46383,Non-Fatal
46384,Non-Fatal
46385,Fatal(1)
46386,Non-Fatal
46387,Non-Fatal
46388,Fatal(2)
46389,Fatal(4)
46390,Non-Fatal
46391,Non-Fatal
46392,Non-Fatal
46393,Non-Fatal
46394,Non-Fatal
46395,Fatal(1)
46396,Non-Fatal
46397,Fatal(1)
46398,Fatal(4)
46399,Fatal(1)
46400,Non-Fatal
46401,Non-Fatal
46402,Non-Fatal
46403,Non-Fatal
46404,Non-Fatal
46405,Non-Fatal
46406,Non-Fatal
46407,Non-Fatal
46408,Non-Fatal
46409,Non-Fatal
46410,Non-Fatal
46411,Fatal(4)
46412,Fatal(4)
46413,Non-Fatal
46414,Non-Fatal
46415,Non-Fatal
46416,Non-Fatal
46417,Non-Fatal
46418,Fatal(2)
46419,Non-Fatal
46420,Non-Fatal
46421,Fatal(1)
46422,Non-Fatal
46423,Non-Fatal
46424,Non-Fatal
46425,Non-Fatal
46426,Non-Fatal
46427,Non-Fatal
46428,Non-Fatal
46429,Incident
46430,Non-Fatal
46431,Non-Fatal
46432,Non-Fatal
46433,Non-Fatal
46434,Non-Fatal
46435,Non-Fatal
46436,Non-Fatal
46437,Non-Fatal
46438,Fatal(2)
46439,Fatal(2)
46440,Incident
46441,Non-Fatal
46442,Non-Fatal
46443,Fatal(1)
46444,Non-Fatal
46445,Non-Fatal
46446,Non-Fatal
46447,Non-Fatal
46448,Non-Fatal
46449,Non-Fatal
46450,Non-Fatal
46451,Non-Fatal
46452,Non-Fatal
46453,Fatal(1)
46454,Fatal(1)
46455,Non-Fatal
46456,Non-Fatal
46457,Non-Fatal
46458,Non-Fatal
46459,Non-Fatal
46460,Non-Fatal
46461,Non-Fatal
46462,Fatal(2)
46463,Non-Fatal
46464,Non-Fatal
46465,Non-Fatal
46466,Non-Fatal
46467,Fatal(1)
46468,Incident
46469,Fatal(2)
46470,Non-Fatal
46471,Non-Fatal
46472,Non-Fatal
46473,Non-Fatal
46474,Non-Fatal
46475,Non-Fatal
46476,Non-Fatal
46477,Fatal(2)
46478,Non-Fatal
46479,Non-Fatal
46480,Non-Fatal
46481,Non-Fatal
46482,Non-Fatal
46483,Non-Fatal
46484,Fatal(1)
46485,Non-Fatal
46486,Non-Fatal
46487,Non-Fatal
46488,Non-Fatal
46489,Non-Fatal
46490,Fatal(1)
46491,Non-Fatal
46492,Non-Fatal
46493,Non-Fatal
46494,Non-Fatal
46495,Non-Fatal
46496,Non-Fatal
46497,Non-Fatal
46498,Non-Fatal
46499,Fatal(1)
46500,Non-Fatal
46501,Non-Fatal
46502,Fatal(2)
46503,Non-Fatal
46504,Non-Fatal
46505,Non-Fatal
46506,Non-Fatal
46507,Non-Fatal
46508,Non-Fatal
46509,Fatal(2)
46510,Fatal(1)
46511,Non-Fatal
46512,Non-Fatal
46513,Non-Fatal
46514,Non-Fatal
46515,Non-Fatal
46516,Non-Fatal
46517,Incident
46518,Fatal(2)
46519,Non-Fatal
46520,Non-Fatal
46521,Non-Fatal
46522,Non-Fatal
46523,Non-Fatal
46524,Non-Fatal
46525,Non-Fatal
46526,Non-Fatal
46527,Non-Fatal
46528,Non-Fatal
46529,Non-Fatal
46530,Non-Fatal
46531,Fatal(1)
46532,Fatal(2)
46533,Non-Fatal
46534,Non-Fatal
46535,Non-Fatal
46536,Non-Fatal
46537,Non-Fatal
46538,Non-Fatal
46539,Fatal(1)
46540,Non-Fatal
46541,Fatal(5)
46542,Non-Fatal
46543,Non-Fatal
46544,Non-Fatal
46545,Non-Fatal
46546,Non-Fatal
46547,Non-Fatal
46548,Non-Fatal
46549,Non-Fatal
46550,Fatal(1)
46551,Non-Fatal
46552,Non-Fatal
46553,Fatal(4)
46554,Fatal(2)
46555,Fatal(1)
46556,Non-Fatal
46557,Non-Fatal
46558,Non-Fatal
46559,Non-Fatal
46560,Non-Fatal
46561,Non-Fatal
46562,Fatal(1)
46563,Non-Fatal
46564,Non-Fatal
46565,Non-Fatal
46566,Non-Fatal
46567,Non-Fatal
46568,Non-Fatal
46569,Non-Fatal
46570,Fatal(1)
46571,Fatal(4)
46572,Fatal(1)
46573,Non-Fatal
46574,Non-Fatal
46575,Non-Fatal
46576,Non-Fatal
46577,Non-Fatal
46578,Fatal(1)
46579,Non-Fatal
46580,Incident
46581,Non-Fatal
46582,Non-Fatal
46583,Non-Fatal
46584,Non-Fatal
46585,Non-Fatal
46586,Non-Fatal
46587,Non-Fatal
46588,Non-Fatal
46589,Fatal(2)
46590,Non-Fatal
46591,Fatal(1)
46592,Non-Fatal
46593,Non-Fatal
46594,Non-Fatal
46595,Non-Fatal
46596,Fatal(2)
46597,Non-Fatal
46598,Non-Fatal
46599,Non-Fatal
46600,Non-Fatal
46601,Non-Fatal
46602,Non-Fatal
46603,Incident
46604,Non-Fatal
46605,Non-Fatal
46606,Non-Fatal
46607,Non-Fatal
46608,Non-Fatal
46609,Non-Fatal
46610,Fatal(3)
46611,Non-Fatal
46612,Non-Fatal
46613,Non-Fatal
46614,Non-Fatal
46615,Non-Fatal
46616,Non-Fatal
46617,Non-Fatal
46618,Non-Fatal
46619,Non-Fatal
46620,Non-Fatal
46621,Fatal(1)
46622,Fatal(2)
46623,Fatal(2)
46624,Fatal(3)
46625,Fatal(2)
46626,Non-Fatal
46627,Non-Fatal
46628,Non-Fatal
46629,Non-Fatal
46630,Non-Fatal
46631,Non-Fatal
46632,Non-Fatal
46633,Non-Fatal
