,Injury.Severity
540,Fatal(1)
541,Non-Fatal
542,Non-Fatal
543,Non-Fatal
544,Non-Fatal
545,Non-Fatal
546,Non-Fatal
547,Non-Fatal
548,Non-Fatal
549,Non-Fatal
550,Non-Fatal
551,Non-Fatal
552,Non-Fatal
553,Non-Fatal
554,Non-Fatal
555,Fatal(2)
556,Non-Fatal
557,Fatal(6)
558,Fatal(6)
559,Non-Fatal
560,Non-Fatal
561,Non-Fatal
562,Non-Fatal
563,Non-Fatal
564,Non-Fatal
565,Non-Fatal
566,Non-Fatal
567,Non-Fatal
568,Non-Fatal
569,Non-Fatal
570,Non-Fatal
571,Non-Fatal
572,Fatal(2)
573,Non-Fatal
574,Fatal(1)
575,Fatal(1)
576,Non-Fatal
577,Non-Fatal
578,Non-Fatal
579,Non-Fatal
580,Non-Fatal
581,Non-Fatal
582,Non-Fatal
583,Non-Fatal
584,Non-Fatal
585,Non-Fatal
586,Non-Fatal
587,Non-Fatal
588,Fatal(1)
589,Fatal(3)
590,Incident
591,Non-Fatal
592,Non-Fatal
593,Fatal(1)
594,Non-Fatal
595,Non-Fatal
596,Non-Fatal
597,Fatal(1)
598,Fatal(1)
599,Fatal(1)
600,Fatal(1)
601,Non-Fatal
602,Non-Fatal
603,Non-Fatal
604,Non-Fatal
605,Non-Fatal
606,Incident
607,Fatal(5)
608,Fatal(2)
609,Fatal(1)
610,Fatal(2)
611,Non-Fatal
612,Non-Fatal
613,Non-Fatal
614,Non-Fatal
615,Non-Fatal
616,Non-Fatal
617,Fatal(3)
618,Non-Fatal
619,Non-Fatal
620,Fatal(1)
621,Non-Fatal
622,Non-Fatal
623,Incident
624,Incident
625,Fatal(1)
626,Fatal(1)
627,Non-Fatal
628,Non-Fatal
629,Non-Fatal
630,Non-Fatal
631,Non-Fatal
632,Non-Fatal
633,Non-Fatal
634,Non-Fatal
635,Non-Fatal
636,Non-Fatal
637,Non-Fatal
638,Fatal(2)
639,Fatal(5)
640,Non-Fatal
641,Non-Fatal
642,Non-Fatal
643,Non-Fatal
644,Non-Fatal
645,Non-Fatal
646,Non-Fatal
647,Fatal(1)
648,Non-Fatal
649,Non-Fatal
650,Non-Fatal
651,Non-Fatal
652,Non-Fatal
653,Non-Fatal
654,Non-Fatal
655,Non-Fatal
656,Non-Fatal
657,Non-Fatal
658,Non-Fatal
659,Non-Fatal
660,Non-Fatal
661,Non-Fatal
662,Non-Fatal
663,Non-Fatal
664,Non-Fatal
665,Fatal(1)
666,Incident
667,Non-Fatal
668,Non-Fatal
669,Non-Fatal
670,Non-Fatal
671,Non-Fatal
672,Non-Fatal
673,Non-Fatal
674,Non-Fatal
675,Non-Fatal
676,Incident
677,Incident
678,Non-Fatal
679,Non-Fatal
680,Non-Fatal
681,Non-Fatal
682,Non-Fatal
683,Non-Fatal
684,Non-Fatal
685,Non-Fatal
686,Fatal(1)
687,Fatal(6)
688,Fatal(3)
689,Non-Fatal
690,Non-Fatal
691,Non-Fatal
692,Non-Fatal
693,Non-Fatal
694,Fatal(4)
695,Non-Fatal
696,Non-Fatal
697,Non-Fatal
698,Non-Fatal
699,Non-Fatal
700,Non-Fatal
701,Non-Fatal
702,Fatal(4)
703,Non-Fatal
704,Non-Fatal
705,Non-Fatal
706,Non-Fatal
707,Non-Fatal
708,Fatal(2)
709,Fatal(1)
710,Non-Fatal
711,Non-Fatal
712,Non-Fatal
713,Non-Fatal
714,Non-Fatal
715,Non-Fatal
716,Non-Fatal
717,Fatal(2)
718,Non-Fatal
719,Incident
720,Non-Fatal
721,Non-Fatal
722,Non-Fatal
723,Non-Fatal
724,Non-Fatal
725,Non-Fatal
726,Fatal(2)
727,Non-Fatal
728,Non-Fatal
729,Non-Fatal
730,Non-Fatal
731,Non-Fatal
732,Non-Fatal
733,Fatal(1)
734,Incident
735,Fatal(3)
736,Fatal(4)
737,Incident
738,Incident
739,Non-Fatal
740,Non-Fatal
741,Non-Fatal
742,Non-Fatal
743,Non-Fatal
744,Non-Fatal
745,Non-Fatal
746,Non-Fatal
747,Fatal(2)
748,Non-Fatal
749,Non-Fatal
750,Non-Fatal
751,Fatal(3)
752,Non-Fatal
753,Non-Fatal
754,Non-Fatal
755,Non-Fatal
756,Non-Fatal
757,Non-Fatal
758,Non-Fatal
759,Non-Fatal
760,Incident
761,Non-Fatal
762,Fatal(1)
763,Non-Fatal
764,Non-Fatal
765,Non-Fatal
766,Non-Fatal
767,Non-Fatal
768,Non-Fatal
769,Non-Fatal
770,Non-Fatal
771,Non-Fatal
772,Fatal(2)
773,Fatal(2)
774,Fatal(3)
775,Non-Fatal
776,Non-Fatal
777,Non-Fatal
778,Non-Fatal
779,Non-Fatal
780,Non-Fatal
781,Non-Fatal
782,Non-Fatal
783,Non-Fatal
784,Non-Fatal
785,Non-Fatal
786,Non-Fatal
787,Non-Fatal
788,Non-Fatal
789,Non-Fatal
790,Non-Fatal
791,Non-Fatal
792,Non-Fatal
793,Non-Fatal
794,Fatal(3)
795,Non-Fatal
796,Incident
797,Non-Fatal
798,Non-Fatal
799,Non-Fatal
800,Non-Fatal
801,Non-Fatal
802,Non-Fatal
803,Fatal(3)
804,Non-Fatal
805,Non-Fatal
806,Non-Fatal
807,Non-Fatal
808,Non-Fatal
809,Non-Fatal
810,Fatal(1)
811,Non-Fatal
812,Fatal(1)
813,Fatal(3)
814,Non-Fatal
815,Non-Fatal
816,Non-Fatal
817,Non-Fatal
818,Non-Fatal
819,Non-Fatal
820,Non-Fatal
821,Non-Fatal
822,Non-Fatal
823,Non-Fatal
824,Non-Fatal
825,Non-Fatal
826,Non-Fatal
827,Non-Fatal
828,Non-Fatal
829,Non-Fatal
830,Non-Fatal
831,Non-Fatal
832,Non-Fatal
833,Non-Fatal
834,Non-Fatal
835,Non-Fatal
836,Non-Fatal
837,Non-Fatal
838,Non-Fatal
839,Non-Fatal
840,Fatal(3)
841,Non-Fatal
842,Non-Fatal
843,Non-Fatal
844,Fatal(1)
845,Fatal(1)
846,Non-Fatal
847,Non-Fatal
848,Non-Fatal
849,Non-Fatal
850,Non-Fatal
851,Non-Fatal
852,Fatal(2)
853,Non-Fatal
854,Fatal(3)
855,Fatal(3)
856,Fatal(4)
857,Fatal(1)
858,Non-Fatal
859,Non-Fatal
860,Non-Fatal
861,Non-Fatal
862,Non-Fatal
863,Non-Fatal
864,Non-Fatal
865,Fatal(3)
866,Fatal(1)
867,Non-Fatal
868,Fatal(3)
869,Non-Fatal
870,Non-Fatal
871,Non-Fatal
872,Non-Fatal
873,Non-Fatal
874,Non-Fatal
875,Non-Fatal
876,Non-Fatal
877,Non-Fatal
878,Non-Fatal
879,Non-Fatal
880,Non-Fatal
881,Fatal(1)
882,Fatal(1)
883,Non-Fatal
884,Non-Fatal
885,Fatal(3)
886,Non-Fatal
887,Non-Fatal
888,Fatal(5)
889,Non-Fatal
890,Incident
891,Non-Fatal
892,Non-Fatal
893,Non-Fatal
894,Non-Fatal
895,Non-Fatal
896,Non-Fatal
897,Non-Fatal
898,Non-Fatal
899,Non-Fatal
900,Non-Fatal
901,Non-Fatal
902,Fatal(2)
903,Non-Fatal
904,Non-Fatal
905,Non-Fatal
906,Incident
907,Incident
908,Incident
909,Non-Fatal
910,Non-Fatal
911,Non-Fatal
912,Fatal(6)
913,Non-Fatal
914,Non-Fatal
915,Non-Fatal
916,Fatal(1)
917,Fatal(3)
918,Non-Fatal
919,Non-Fatal
920,Non-Fatal
921,Non-Fatal
922,Non-Fatal
923,Non-Fatal
